name,ring,quadrant,isNew,description,
Open Source,Core,OS / Technology,FALSE,, 
OS - Windows,Core,OS / Technology,FALSE,, 
OS - Linux,Adopt,OS / Technology,FALSE,, 
OS - Mac,Hold,OS / Technology,FALSE,, 
OS - Unix,Hold,OS / Technology,FALSE,, 
Cloud Base,Assess,OS / Technology,FALSE,, 
ALM MicroFocus,Core,Integration / Plugin,FALSE,, 
ALM RQM,Core,Integration / Plugin,FALSE,, 
ALM Rally,Assess,Integration / Plugin,FALSE,, 
ALM Jira - Xray,Adopt,Integration / Plugin,FALSE,, 
ALM Jira - Zephyr,Hold,Integration / Plugin,FALSE,, 
qTest,Assess,Integration / Plugin,FALSE,,
Jenkins,Core,Integration / Plugin,FALSE,, 
Bamboo,Assess,Integration / Plugin,FALSE,, 
TeamCity,Hold,Integration / Plugin,FALSE,, 
Cucumber - Gherkin,Core,Integration / Plugin,FALSE,, 
Appium,Core,Integration / Plugin,FALSE,, 
Perfecto,Core,Integration / Plugin,FALSE,, 
TestNG,Core,Integration / Plugin,FALSE,, 
SoapUI,Core,Integration / Plugin,FALSE,, 
PACT (Micro services),Core,Integration / Plugin,FALSE,, 
Selenium,Core,Integration / Plugin,FALSE,, 
Python,Adopt,Integration / Plugin,FALSE,, 
Groovy,Adopt,Integration / Plugin,FALSE,, 
CircleCI,Assess,Integration / Plugin,FALSE,, 
Docker,Assess,Integration / Plugin,FALSE,, 
Tortoise SVN,Core,Integration / Plugin,FALSE,, 
GIT Hub,Core,Integration / Plugin,FALSE,, 
GIT Lab,Core,Integration / Plugin,FALSE,, 
Kubernetes,Assess,Integration / Plugin,FALSE,, 
Applitools,Core,Integration / Plugin,FALSE,, 
Java - EJB,Assess,Automation Platform,FALSE,, 
Java Swing UI,Core,Automation Platform,FALSE,, 
Java Widgets,Core,Automation Platform,FALSE,, 
Web,Core,Automation Platform,FALSE,, 
Windows,Core,Automation Platform,FALSE,, 
Windows -Widgets,Core,Automation Platform,FALSE,, 
Power builder,Core,Automation Platform,FALSE,, 
Power builder - Widgets,Core,Automation Platform,FALSE,, 
Web services,Core,Automation Platform,FALSE,, 
Mobile IOS,Core,Automation Platform,FALSE,, 
Mobile Android,Core,Automation Platform,FALSE,, 
Unix,Core,Automation Platform,FALSE,, 
Dos,Core,Automation Platform,FALSE,, 
Mainframe,Core,Automation Platform,FALSE,, 
Service Virtualization,Core,Automation Platform,FALSE,, 
Network testing,Hold,Automation Platform,FALSE,, 
Siebel OpenUI,Core,Automation Platform,FALSE,, 
Siebel HI/SI,Assess,Automation Platform,FALSE,, 
oracle SQL,Core,Automation Platform,FALSE,, 
MySQL,Core,Automation Platform,FALSE,, 
SQL Server,Core,Automation Platform,FALSE,, 
Cassandra,Core,Automation Platform,FALSE,, 
PostGRE SQL,Core,Automation Platform,FALSE,, 
CouchBase,Core,Automation Platform,FALSE,, 
DB2,Core,Automation Platform,FALSE,, 
Access,Core,Automation Platform,FALSE,, 
MongoDB,Adopt,Automation Platform,FALSE,, 
Record & playback,Core,Capabilities,FALSE,, 
Analyzer - Auto Fix,Core,Capabilities,FALSE,, 
Share repository,Core,Capabilities,FALSE,, 
RPA - Automatic Learning/Modelling of applications,Core,Capabilities,FALSE,, 
Performance,Hold,Capabilities,FALSE,, 
Reporting,Core,Capabilities,FALSE,, 
Email Report,Core,Capabilities,FALSE,, 
Codeless automation using drag & drop,Core,Capabilities,FALSE,, 
Multiple Data Source,Core,Capabilities,FALSE,, 
Plug in Support,Core,Capabilities,FALSE,, 
Graphic flow creation,Adopt,Capabilities,FALSE,, 
AI driven automation,Assess,Capabilities,FALSE,, 
Flow Predition using ML,Adopt,Capabilities,FALSE,, 
Find and Replace Actions,Core,Capabilities,FALSE,, 
Parallel execution,Core,Capabilities,FALSE,, 
Analytics,Assess,Capabilities,FALSE,, 
Automation ALM Defect creation,Core,Capabilities,FALSE,, 
Distrbuted Execution,Hold,Capabilities,FALSE,, 
Cross browser,Core,Capabilities,FALSE,, 
Trigger Execution from Web,Core,Capabilities,FALSE,, 
Flow Control,Core,Capabilities,FALSE,, 
Remote test execution ,Core,Capabilities,FALSE,, 
